latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
185,-94,2176,-107374182,27,2023-04-24 16:24:54.887755
205,-103,2104,-107374182,33,2023-04-24 16:24:55.304888
71,-104,2135,-107374182,42,2023-04-24 16:24:55.670526
71,-104,2414,-107374182,48,2023-04-24 16:24:56.042298
71,-104,2206,-107374182,54,2023-04-24 16:24:56.433549
71,-104,2035,-107374182,48,2023-04-24 16:24:56.805800
71,-104,1839,-107374182,39,2023-04-24 16:24:57.179166
141,-101,1787,-107374182,30,2023-04-24 16:24:57.599945
211,-94,2071,-107374182,24,2023-04-24 16:24:58.066671
235,-100,1990,-107374182,33,2023-04-24 16:24:58.514427
135,-106,1907,-107374182,39,2023-04-24 16:24:58.895763
135,-104,2372,-107374182,48,2023-04-24 16:24:59.263755
135,-104,2390,-107374182,54,2023-04-24 16:24:59.620259
135,-104,2160,-107374182,48,2023-04-24 16:24:59.983689
135,-104,1992,-107374182,42,2023-04-24 16:25:00.342114
135,-102,1801,-107374182,36,2023-04-24 16:25:00.708543
137,-96,2145,-107374182,27,2023-04-24 16:25:01.161732
238,-96,2178,-107374182,27,2023-04-24 16:25:01.618151
199,-102,2063,-107374182,36,2023-04-24 16:25:02.033555
90,-103,2321,-107374182,45,2023-04-24 16:25:02.400352
90,-103,2695,-107374182,51,2023-04-24 16:25:02.777293
90,-103,2449,-107374182,51,2023-04-24 16:25:03.147426
90,-103,2258,-107374182,45,2023-04-24 16:25:03.508141
90,-103,2083,-107374182,39,2023-04-24 16:25:03.882106
96,-98,2056,-107374182,30,2023-04-24 16:25:04.319992
198,-95,2131,-107374182,24,2023-04-24 16:25:04.737267
204,-101,2010,-107374182,33,2023-04-24 16:25:05.195709
153,-104,2050,-107374182,42,2023-04-24 16:25:05.570396
153,-104,2433,-107374182,48,2023-04-24 16:25:05.968611
153,-104,2250,-107374182,54,2023-04-24 16:25:06.339789
153,-104,2034,-107374182,48,2023-04-24 16:25:06.710436
153,-104,1838,-107374182,39,2023-04-24 16:25:07.096349
102,-101,2053,-107374182,33,2023-04-24 16:25:07.491925
155,-93,2243,-107374182,24,2023-04-24 16:25:07.940976
198,-98,2148,-107374182,30,2023-04-24 16:25:08.385096
98,-103,2022,-107374182,39,2023-04-24 16:25:08.756669
98,-104,2340,-107374182,45,2023-04-24 16:25:09.116648
98,-104,2280,-107374182,54,2023-04-24 16:25:09.484619
98,-104,2061,-107374182,51,2023-04-24 16:25:09.854333
98,-104,1901,-107374182,45,2023-04-24 16:25:10.205428
98,-102,1753,-107374182,36,2023-04-24 16:25:10.566026
101,-97,1910,-107374182,27,2023-04-24 16:25:11.046598
198,-96,1925,-107374182,27,2023-04-24 16:25:11.515073
201,-101,1857,-107374182,36,2023-04-24 16:25:11.921900
117,-104,2148,-107374182,42,2023-04-24 16:25:12.309529
117,-104,2441,-107374182,51,2023-04-24 16:25:12.653375
117,-104,2273,-107374182,54,2023-04-24 16:25:12.997933
117,-104,2096,-107374182,48,2023-04-24 16:25:13.367962
117,-104,1934,-107374182,39,2023-04-24 16:25:13.728266
160,-102,1872,-107374182,33,2023-04-24 16:25:14.115634
199,-92,2129,-107374182,24,2023-04-24 16:25:14.585024
238,-97,2072,-107374182,30,2023-04-24 16:25:15.012030
124,-102,1954,-107374182,39,2023-04-24 16:25:15.390770
124,-103,2482,-107374182,45,2023-04-24 16:25:15.763711
124,-103,2482,-107374182,54,2023-04-24 16:25:16.106857
124,-103,2244,-107374182,51,2023-04-24 16:25:16.480231
124,-103,2069,-107374182,42,2023-04-24 16:25:16.836985
124,-102,1871,-107374182,36,2023-04-24 16:25:17.205034
54,-98,2015,-107374182,27,2023-04-24 16:25:17.616303
142,-95,2057,-107374182,27,2023-04-24 16:25:18.100589
156,-100,1995,-107374182,36,2023-04-24 16:25:18.524835
40,-104,2023,-107374182,42,2023-04-24 16:25:18.911459
40,-104,2075,-107374182,51,2023-04-24 16:25:19.293121
40,-104,1915,-107374182,54,2023-04-24 16:25:19.663739
40,-104,1731,-107374182,45,2023-04-24 16:25:20.031348
40,-103,1596,-107374182,39,2023-04-24 16:25:20.421421
106,-99,1858,-107374182,30,2023-04-24 16:25:20.893387
204,-93,1957,-107374182,24,2023-04-24 16:25:21.301267
212,-102,1908,-107374182,33,2023-04-24 16:25:21.724698
138,-103,1901,-107374182,42,2023-04-24 16:25:22.096565
138,-102,2352,-107374182,48,2023-04-24 16:25:22.457705
138,-102,2272,-107374182,54,2023-04-24 16:25:22.826749
138,-102,2096,-107374182,48,2023-04-24 16:25:23.185564
138,-102,1894,-107374182,42,2023-04-24 16:25:23.566317
220,-100,1847,-107374182,33,2023-04-24 16:25:23.950299
100,-97,2109,-107374182,24,2023-04-24 16:25:24.388869
189,-96,2070,-107374182,30,2023-04-24 16:25:24.836091
143,-101,1933,-107374182,36,2023-04-24 16:25:25.221758
80,-102,2073,-107374182,45,2023-04-24 16:25:25.586585
80,-102,2129,-107374182,51,2023-04-24 16:25:25.944256
80,-102,1964,-107374182,51,2023-04-24 16:25:26.321444
80,-102,1775,-107374182,45,2023-04-24 16:25:26.699652
80,-102,1637,-107374182,36,2023-04-24 16:25:27.093886
111,-101,1723,-107374182,30,2023-04-24 16:25:27.509480
171,-94,1853,-107374182,24,2023-04-24 16:25:27.961702
208,-101,1802,-107374182,33,2023-04-24 16:25:28.370936
53,-103,1852,-107374182,42,2023-04-24 16:25:28.744960
53,-103,2223,-107374182,48,2023-04-24 16:25:29.136159
53,-103,2052,-107374182,54,2023-04-24 16:25:29.511498
53,-103,1893,-107374182,48,2023-04-24 16:25:29.885659
53,-103,1711,-107374182,39,2023-04-24 16:25:30.262305
219,-101,1662,-107374182,30,2023-04-24 16:25:30.681879
259,-93,2337,-107374182,24,2023-04-24 16:25:31.173168
299,-98,2257,-107374182,33,2023-04-24 16:25:31.616127
232,-103,2179,-107374182,39,2023-04-24 16:25:32.004632
232,-103,3071,-107374182,48,2023-04-24 16:25:32.371355
232,-103,3158,-107374182,54,2023-04-24 16:25:32.753309
232,-103,2912,-107374182,48,2023-04-24 16:25:33.125579
232,-103,2633,-107374182,42,2023-04-24 16:25:33.497141
220,-102,2478,-107374182,33,2023-04-24 16:25:33.890463
102,-94,2489,-107374182,24,2023-04-24 16:25:34.361255
169,-98,2372,-107374182,30,2023-04-24 16:25:34.786999
109,-101,2233,-107374182,36,2023-04-24 16:25:35.182274
83,-104,2318,-107374182,45,2023-04-24 16:25:35.573483
83,-104,2227,-107374182,54,2023-04-24 16:25:35.941402
83,-104,2054,-107374182,51,2023-04-24 16:25:36.336859
83,-104,1857,-107374182,42,2023-04-24 16:25:36.724991
83,-102,1678,-107374182,36,2023-04-24 16:25:37.118334
