raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
1210,-98,1709,106.44114999999874,0
1332,-90,1689,106.82605999999942,0
1562,-102,1662,107.1483969999972,0
1590,-94,1655,107.44602499999746,0
1296,-101,1632,107.7725999999966,0
1672,-97,1634,108.06181899999501,0
2950,-98,1714,108.37314199999673,0
2146,-99,1810,108.71785999999702,0
1770,-90,1828,109.07133700000122,0
1800,-105,1816,109.38573299999553,0
1700,-94,1829,109.73008100000152,0
1672,-97,1808,110.08339100000012,0
2192,-101,1806,110.42494199999783,0
2462,-89,1863,110.75821400000132,0
1652,-101,1849,111.07243599999492,0
1862,-92,1848,111.356746999998,0
1340,-105,1806,111.59418499999447,0
1650,-92,1792,111.89463199999591,0
1740,-101,1782,112.24673299999995,0
2720,-98,1829,112.62031399999978,0
1800,-92,1888,112.96342000000004,0
2302,-104,1892,113.27816999999777,0
2052,-93,1983,113.64228000000003,0
1896,-99,1964,113.94526899999619,0
1600,-102,1922,114.3267579999956,0
2006,-90,1925,114.70873299999948,0
1706,-103,1880,115.01595399999496,0
1990,-98,1888,115.37078900000051,0
1662,-96,1874,115.72069999999803,0
2180,-104,1889,116.07369699999981,0
1560,-92,1881,116.4490799999985,0
1520,-99,1849,116.78302899999835,0
1780,-101,1829,117.16550399999687,0
1556,-90,1829,117.514228,0
2080,-102,1835,117.82321799999772,0
1660,-99,1836,118.18410999999469,0
2112,-95,1852,118.48968700000114,0
1470,-101,1850,118.78948699999455,0
1860,-90,1844,119.10470299999724,0
2060,-103,1853,119.39914799999679,0
1882,-92,1861,119.72995299999457,0
2920,-105,1899,120.04286899999715,0
2580,-98,1954,120.38763499999914,0
1597,-101,1941,120.74196600000141,0
2516,-103,1908,121.08480699999927,0
3253,-90,2010,121.42811799999618,0
1120,-101,1958,121.79038099999889,0
2506,-100,1973,122.14405999999872,0
3116,-92,2067,122.51895800000057,0
2300,-102,2122,122.8883879999994,0
2602,-101,2109,123.34129299999768,0
1522,-96,2141,123.79042599999957,0
1290,-94,2069,124.15078099999664,0
1722,-98,1997,124.6899459999986,0
2062,-101,1961,125.1372709999996,0
2116,-102,1976,125.54604699999618,0
2232,-97,2016,126.02981799999543,0
2467,-92,2087,126.54261599999882,0
2556,-93,2101,126.92462800000067,0
2552,-101,2135,127.25004700000136,0
1512,-96,2118,127.71414199999708,0
2150,-98,2106,128.23765899999853,0
1660,-90,2035,128.66682899999432,0
2026,-104,2007,128.979164999997,0
1910,-94,2015,129.31819299999916,0
1800,-104,1996,129.62001400000008,0
1702,-99,1968,129.99535900000046,0
2470,-90,2002,130.35108000000037,0
2022,-102,2017,130.7050969999982,0
1330,-98,1976,131.07786099999794,0
3456,-92,2055,131.44613299999764,0
1952,-103,2068,131.7942649999968,0
1540,-90,2054,132.09680899999512,0
1740,-101,2020,132.4340430000011,0
1332,-101,1984,132.78923799999757,0
2242,-91,1966,133.1942459999991,0
2780,-101,2069,133.53045900000143,0
2022,-100,2060,133.89455599999928,0
1926,-91,2067,134.24646499999653,0
1180,-103,2004,134.59237700000085,0
1322,-94,1932,134.95155499999964,0
2100,-97,1933,135.30906899999536,0
1350,-100,1896,135.6173589999962,0
2320,-91,1893,135.95392300000094,0
2742,-101,1955,136.30873299999803,0
1690,-98,1973,136.69489299999987,0
1990,-91,1958,137.0495230000015,0
1596,-103,1937,137.4047819999978,0
1170,-97,1887,137.7967129999961,0
2156,-94,1899,138.12690499999735,0
1320,-104,1874,138.49009600000136,0
1416,-94,1833,138.84281199999532,0
2496,-99,1845,139.15866699999606,0
1502,-98,1859,139.4591419999997,0
1650,-94,1816,139.79265899999882,0
3112,-102,1855,140.12968700000056,0
3090,-93,1945,140.52419499999814,0
2526,-99,2008,140.8688839999959,0
1435,-102,1987,141.23313699999562,0
1672,-90,1969,141.58745500000077,0
1774,-103,1927,141.88099599999987,0
1742,-97,1930,142.2258129999973,0
1602,-98,1909,142.55490199999622,0
1212,-102,1842,142.90060699999594,0
1982,-92,1831,143.36355799999728,0
1902,-96,1839,143.75897699999769,0
2722,-102,1841,144.19097799999872,0
1756,-99,1887,144.54741300000023,0
1600,-91,1846,144.9415850000005,0
1582,-99,1805,145.36456299999554,0
1450,-102,1759,145.8256859999965,0
1622,-101,1751,146.2111189999996,0
2170,-94,1800,146.66526199999498,0
1646,-96,1803,147.07916199999454,0
1530,-102,1785,147.45144699999946,0
1070,-95,1752,147.77928699999757,0
3720,-99,1879,148.1389599999966,0
1622,-101,1940,148.4828539999944,0
1532,-96,1882,148.80684800000017,0
1550,-106,1855,149.15692999999737,0
1736,-94,1834,149.47330599999987,0
2990,-98,1909,149.82643599999574,0
1986,-101,1959,150.16817499999888,0
2202,-90,1955,150.52388499999506,0
2132,-102,1972,150.79653400000097,0
1340,-91,1957,151.1401659999974,0
1680,-100,1928,151.44077899999684,0
1552,-98,1905,151.79457600000023,0
1632,-92,1885,152.1409019999992,0
780,-103,1826,152.47384099999908,0
1856,-94,1791,152.83045599999605,0
2392,-99,1824,153.16200799999933,0
2130,-98,1875,153.51680699999997,0
2356,-89,1914,153.8700119999994,0
3490,-104,1993,154.16324699999677,0
2936,-94,2061,154.49532499999623,0
1512,-102,2038,154.79465199999686,0
1702,-98,2003,155.15131399999518,0
2560,-95,2048,155.49554699999862,0
1826,-103,2053,155.8294639999949,0
2272,-93,2061,156.22331999999733,0
1920,-99,2059,156.54703299999528,0
1798,-102,2004,156.9192369999946,0
2634,-92,2065,157.27396099999896,0
2022,-101,2077,157.60189900000114,0
1922,-98,2075,157.94408199999452,0
2182,-99,2091,158.1869880000013,0
2062,-98,2099,158.49910299999465,0
2142,-95,2097,158.88198199999897,0
2210,-102,2081,159.29497499999707,0
2002,-102,2071,159.7990509999945,0
2432,-97,2095,160.17397099999653,0
1996,-100,2091,160.50824699999794,0
2976,-101,2072,160.92725000000064,0
1920,-101,2121,161.3812939999989,0
940,-95,2013,161.82068399999844,0
2920,-95,2039,162.2262929999997,0
1212,-101,2040,162.68389100000059,0
2130,-102,2004,163.108607999995,0
2110,-92,2009,163.40450799999962,0
1860,-102,1989,163.78485399999772,0
2750,-102,2031,164.25964999999997,0
1710,-97,2065,164.72741300000052,0
1466,-91,2033,165.10642899999948,0
1342,-101,1971,165.47126299999945,0
1570,-99,1905,165.82285499999853,0
2800,-93,1940,166.1923999999999,0
1760,-103,1948,166.50112100000115,0
1702,-93,1931,166.84556099999463,0
2822,-99,1977,167.19877799999813,0
1506,-99,1998,167.52217499999824,0
1782,-89,1977,167.8525479999953,0
1542,-102,1948,168.14223599999968,0
1326,-90,1924,168.4228479999947,0
1142,-102,1858,168.71168999999645,0
1930,-89,1833,169.0281079999986,0
2402,-104,1862,169.34224499999982,0
2002,-97,1879,169.70478100000037,0
2682,-96,1935,170.04032699999516,0
1016,-105,1922,170.394773,0
1532,-89,1871,170.74883599999885,0
2182,-101,1875,171.0906279999981,0
1816,-100,1893,171.42449699999997,0
2228,-91,1903,171.7884369999956,0
4179,-103,1996,172.04115499999898,0
3907,-90,2116,172.35696499999904,0
1446,-104,2150,172.65783699999884,0
1920,-94,2116,173.0136779999957,0
1670,-97,2092,173.3560440000001,0
1650,-102,2042,173.66883299999608,0
2086,-90,2030,174.00221199999942,0
2450,-103,2059,174.3637269999963,0
1692,-95,2022,174.7087109999993,0
3100,-98,2083,175.0426660000012,0
1182,-102,2095,175.3948739999978,0
1540,-91,2040,175.72853100000066,0
1632,-104,1996,175.9789180000007,0
1770,-91,1969,176.31959999999526,0
1790,-100,1945,176.66471399999864,0
1920,-97,1949,177.0081579999969,0
2050,-92,1969,177.36069799999677,0
2970,-103,2000,177.69740099999763,0
2950,-94,2121,178.0712149999963,0
1830,-97,2110,178.4038109999965,0
1482,-101,2049,178.7597620000015,0
1650,-90,2011,179.0944359999994,0
2160,-103,2005,179.37966899999446,0
1902,-91,2004,179.66902699999628,0
2440,-103,2001,179.93240299999889,0
2610,-91,2030,180.2482269999964,0
2012,-101,2033,180.58751699999993,0
1812,-101,2029,180.94161899999744,0
1940,-92,2022,181.2769169999956,0
1962,-103,2015,181.6292439999961,0
2132,-93,2043,181.98118899999827,0
1792,-98,2007,182.33970599999884,0
1500,-102,1981,182.6886549999981,0
1780,-90,1970,183.0030789999946,0
1360,-103,1934,183.27607200000057,0
1312,-91,1883,183.60836500000005,0
2172,-103,1872,183.92204599999968,0
2390,-99,1929,184.31559900000138,0
2401,-91,1976,184.73911199999566,0
4103,-97,2102,185.19170499999746,0
1842,-103,2202,185.53481199999806,0
1420,-99,2152,185.97194599999784,0
1522,-91,2105,186.46518799999467,0
2026,-94,2034,186.88809200000105,0
2170,-102,2059,187.3035699999964,0
2302,-104,2086,187.76770199999737,0
1136,-101,2039,188.22972899999877,0
1450,-94,1952,188.69442899999558,0
2262,-93,1950,189.12589299999672,0
2010,-100,1955,189.5307529999991,0
1580,-97,1948,189.8892879999985,0
1870,-89,1949,190.33624099999724,0
