latency,RSSI,attn1,attn2,TIMESTAMP
430,-90,[60],[2022],-107374182,32,2023-04-05 16:19:38.882385
392,-97,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139]",-107374182,41,2023-04-05 16:19:50.675644
394,-97,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132]",-107374182,42,2023-04-05 16:19:50.960846
394,-99,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127]",-107374182,43,2023-04-05 16:19:51.218688
367,-98,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123]",-107374182,43,2023-04-05 16:19:51.491921
363,-100,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128]",-107374182,44,2023-04-05 16:19:51.777011
290,-101,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422, 1033]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128, 166]",-107374182,45,2023-04-05 16:19:52.012612
204,-100,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422, 1033, 5006]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128, 166, 356]",-107374182,45,2023-04-05 16:19:52.255416
220,-100,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422, 1033, 5006, 9946]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128, 166, 356, 1070]",-107374182,45,2023-04-05 16:19:52.548134
169,-103,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422, 1033, 5006, 9946, 3923]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128, 166, 356, 1070, 1352]",-107374182,44,2023-04-05 16:19:52.774283
217,-100,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48, 49, 39, 41, 76, 422, 1033, 5006, 9946, 3923, 3439]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145, 139, 132, 127, 123, 128, 166, 356, 1070, 1352, 1459]",-107374182,43,2023-04-05 16:19:53.067905
